2240          59.950    12.230  MAGNOR                        
2250          60.260    12.080  ROVERUD                       
2254          60.300    12.260  LUNDERSÆTER                   
2255          60.200    12.490  BRANDVAL-FINNSKOG             
2256          60.430    12.430  GRUE-FINNSKOG                 
2260          60.470    12.070  KIRKENÆR                      
2263          60.330    12.040  BRANDVAL                      
2264          60.410    12.070  GRINDER                       
2265          60.500    12.110  NAMNÅ                         
2266          60.570    12.070  ARNEBERG                      
2270          60.590    12.030  FLISA                         
2280          60.670    12.070  GJESÅSEN                      
2282          60.690    12.150  SKANSEN                       
2283          60.680    12.230  SKALBUKILEN                   
2290          60.680    11.860  VÅLER I SOLØR                 
2292          60.620    11.940  HASLEMOEN                     
2296          60.800    11.640  HERADSBYGD                    
2300          60.790    11.090  HAMAR                         
2310          60.710    11.170  STANGE                        
2312          60.740    11.140  OTTESTAD                      
2320          60.860    11.220  FURNES                        
2322          60.900    11.070  RIDABU                        
2324          60.870    11.230  VANG PÅ HEDMARK               
2344          60.770    11.220  ILSENG                        
2345          60.790    11.360  ÅDALSBRUK                     
2350          60.770    10.930  NES PÅ HEDEMARK               
2353          60.800    10.830  STAVSJØ                       
2355          60.880    10.790  GAUPE                         
2360          60.920    10.860  RINGSAKER                     
2362          60.880    11.030  VELDRE                        
2364          60.980    10.770  NÆROSET                       
2365          61.050    10.600  ÅSMARKA                       
2372          61.020    10.570  BRØTTUM                       
2380          60.880    10.970  BRUMUNDDAL                    
2390          60.930    10.700  MOELV                         
2400          60.890    11.590  ELVERUM                       
2410          60.930    11.660  HERNES                        
2412          60.940    11.770  SØRSKOGBYGDA                  
2414          61.080    12.010  KJERNMOEN                     
2416          61.240    12.050  ULVSJØEN                      
2420          61.320    12.270  TRYSIL                        
2422          61.250    12.330  NYBERGSUND                    
2423          61.260    12.530  ØSTBYE                        
2425          61.380    12.690  LJØRDALEN                     
2427          61.140    12.520  PLASSEN                       
2430          61.420    12.150  JORDET                        
2435          60.720    11.810  BRASKEREIDFOSS                
2436          60.680    11.860  VÅLER I SOLØR                 
2437          60.620    11.950  HASLEMOEN                     
2438          60.890    12.230  GRAVBERGET                    
2440          61.750    11.960  ENGERDAL                      
2443          61.880    12.050  DREVSJØ                       
2445          61.910    11.940  FEMUNDSENDEN                  
2446          62.160    11.950  ELGÅ                          
2450          61.110    11.390  RENA                          
2460          61.300    11.750  OSEN                          
2467          61.460    11.320  SJØLISTRAND                   
2480          61.570    11.070  KOPPANG                       
2482          61.680    11.200  STORSJØEN                     
2483          61.760    11.180  LOMNESSJØEN                   
2490          61.720    10.850  ATNA                          
2492          61.780    10.390  SOLLIA                        
2500          62.260    10.780  TYNSET                        
2510          62.120    10.780  TYLLDALEN                     
2512          62.190    10.970  BRYDALEN                      
2513          62.090    11.040  FINSTAD                       
2530          61.880    11.070  ØVRE RENDAL                   
2532          61.920    11.050  EVÅL                          
2533          61.970    11.120  UNSET                         
2540          62.390    11.010  TOLGA                         
2542          62.410    10.870  VINGELEN                      
2543          62.340    11.200  HODALEN                       
2544          62.200    11.470  ØVERSJØDALEN                  
2550          62.480    11.250  OS I ØSTERDALEN               
2552          62.510    11.150  BRENNBAKKEN                   
2555          62.300    11.740  TUFSINGDALEN                  
2557          62.080    11.670  SØMÅDALEN                     
2560          62.090    10.630  ALVDAL                        
2570          61.830    10.900  HANESTAD                      
2573          61.980    10.900  BARKALD                       
2580          62.130    10.030  FOLLDAL                       
2582          62.140    10.160  GRIMSBU                       
2584          62.170     9.820  DALHOLEN                      
2596          62.390    10.460  NYTRØA                        
2600          61.100    10.480  LILLEHAMMER                   
2607          61.070    10.430  VINGROM                       
2610          61.100    10.720  MESNALI                       
2612          61.140    10.680  SJUSJØEN                      
2614          61.170    10.620  NORDSÆTER                     
2617          61.090    10.380  JØRSTADMOEN                   
2620          61.200    10.290  FOLLEBRU                      
2621          61.220    10.230  SEGALSTAD BRU                 
2622          61.250    10.200  GAUSA                         
2623          61.220    10.120  VESTRE GAUSDAL                
2624          61.240    10.070  BØDAL                         
2626          61.310     9.900  BENNA                         
2657          61.340     9.780  SVATSUM                       
2630          61.520    10.130  RINGEBU                       
2632          61.580    10.040  VENABYGD                      
2634          61.450    10.180  FÅVANG                        
2635          61.300    10.280  TRETTEN                       
2636          61.310    10.390  ØYER                          
2637          61.210    10.440  HUNDER                        
2638          61.160    10.430  FÅBERG                        
2640          61.610     9.750  VINSTRA                       
2642          61.580     9.640  KVIKNE-SKÅBU                  
2643          61.550     9.430  SKÅBU                         
2645          61.580     9.850  HARPEFOSS                     
2647          61.550     9.950  HUNDORP                       
