 Fields to use
 Latitude range and number of values        58.000    65.000        36
 Longitude range and number of values        2.000     8.000        31
 Contour level to plot and color          90.0
 Contour level to plot and color          50.0
 Contour level to plot and color          20.0
 Contour level to plot and color           5.0
 Contour level to plot and color           2.0
 Contour level to plot and color           1.8
 Contour level to plot and color           1.6
 Contour level to plot and color           1.4
 Contour level to plot and color           1.2
 Contour level to plot and color           1.0
 Contour level to plot and color           0.9
 Contour level to plot and color           0.8
 Contour level to plot and color           0.7
 Contour level to plot and color           0.6
 Contour level to plot and color           0.5
 Contour level to plot and color           0.4
 Contour level to plot and color           0.3
 Contour level to plot and color           0.2
 Contour level to plot and color           0.1
   5.80000019       58.7999992       13.2036867    
   6.00000000       58.7999992       13.3037252    
   6.20000029       58.7999992       13.4165697    
   6.40000010       58.7999992       13.5478659    
   6.59999990       58.7999992       13.7049513    
   6.80000019       58.7999992       13.8885393    
   7.00000000       58.7999992       14.0972462    
   7.20000029       58.7999992       14.3319273    
   7.40000010       58.7999992       14.5932398    
   7.59999990       58.7999992       14.8901663    
   7.80000019       58.7999992       15.2212000    
   8.00000000       58.7999992       15.5784845    
   2.00000000       59.0000000       11.0980377    
   2.20000005       59.0000000       11.0355234    
   2.40000010       59.0000000       10.9912882    
   2.59999990       59.0000000       10.9659977    
   2.79999995       59.0000000       10.9602365    
   3.00000000       59.0000000       10.9915600    
   3.20000005       59.0000000       11.0585299    
   3.40000010       59.0000000       11.1459169    
   3.59999990       59.0000000       11.2536879    
   3.79999995       59.0000000       11.3816090    
   4.00000000       59.0000000       11.5379038    
   4.19999981       59.0000000       11.7140045    
   4.40000010       59.0000000       11.9063225    
   4.59999990       59.0000000       12.1111946    
   4.80000019       59.0000000       12.3213320    
   5.00000000       59.0000000       12.5222549    
   5.19999981       59.0000000       12.6906700    
   5.40000010       59.0000000       12.8027267    
   5.59999990       59.0000000       12.8741035    
   5.80000019       59.0000000       12.9374294    
   6.00000000       59.0000000       13.0136137    
   6.20000029       59.0000000       13.1118832    
   6.40000010       59.0000000       13.2357960    
   6.59999990       59.0000000       13.3866291    
   6.80000019       59.0000000       13.5695066    
   7.00000000       59.0000000       13.7819271    
   7.20000029       59.0000000       14.0224390    
   7.40000010       59.0000000       14.2918434    
   7.59999990       59.0000000       14.5908604    
   7.80000019       59.0000000       14.9336252    
   8.00000000       59.0000000       15.3040056    
   2.00000000       59.2000008       10.5707598    
   2.20000005       59.2000008       10.5016670    
   2.40000010       59.2000008       10.4517593    
   2.59999990       59.2000008       10.4218597    
   2.79999995       59.2000008       10.4127102    
   3.00000000       59.2000008       10.4491558    
   3.20000005       59.2000008       10.5159683    
   3.40000010       59.2000008       10.6049843    
   3.59999990       59.2000008       10.7164087    
   3.79999995       59.2000008       10.8520784    
   4.00000000       59.2000008       11.0191584    
   4.19999981       59.2000008       11.2112017    
   4.40000010       59.2000008       11.4242792    
   4.59999990       59.2000008       11.6569176    
   4.80000019       59.2000008       11.9127712    
   5.00000000       59.2000008       12.1809759    
   5.19999981       59.2000008       12.4230499    
   5.40000010       59.2000008       12.5086908    
   5.59999990       59.2000008       12.5255508    
   5.80000019       59.2000008       12.5631666    
   6.00000000       59.2000008       12.6331015    
   6.20000029       59.2000008       12.7362986    
   6.40000010       59.2000008       12.8694954    
   6.59999990       59.2000008       13.0315933    
   6.80000019       59.2000008       13.2221346    
   7.00000000       59.2000008       13.4424715    
   7.20000029       59.2000008       13.6900063    
   7.40000010       59.2000008       13.9676743    
   7.59999990       59.2000008       14.2773361    
   7.80000019       59.2000008       14.6299610    
   8.00000000       59.2000008       15.0165901    
   2.00000000       59.4000015       10.0234041    
   2.20000005       59.4000015       9.94366932    
   2.40000010       59.4000015       9.88372517    
   2.59999990       59.4000015       9.84453201    
   2.79999995       59.4000015       9.82696247    
   3.00000000       59.4000015       9.85199165    
   3.20000005       59.4000015       9.91144943    
   3.40000010       59.4000015       9.99280357    
   3.59999990       59.4000015       10.1006880    
   3.79999995       59.4000015       10.2368174    
   4.00000000       59.4000015       10.4070740    
   4.19999981       59.4000015       10.5985031    
   4.40000010       59.4000015       10.8064680    
   4.59999990       59.4000015       11.0337400    
   4.80000019       59.4000015       11.2671623    
   5.00000000       59.4000015       11.4929600    
   5.19999981       59.4000015       11.6849298    
   5.40000010       59.4000015       11.8207912    
   5.59999990       59.4000015       11.9216557    
   5.80000019       59.4000015       12.0231714    
   6.00000000       59.4000015       12.1441402    
   6.20000029       59.4000015       12.2896128    
   6.40000010       59.4000015       12.4579325    
   6.59999990       59.4000015       12.6457453    
   6.80000019       59.4000015       12.8550434    
   7.00000000       59.4000015       13.0847425    
   7.20000029       59.4000015       13.3378525    
   7.40000010       59.4000015       13.6202898    
   7.59999990       59.4000015       13.9371929    
   7.80000019       59.4000015       14.3013954    
   8.00000000       59.4000015       14.7046652    
   2.00000000       59.5999985       9.45698643    
   2.20000005       59.5999985       9.36208248    
   2.40000010       59.5999985       9.28724766    
   2.59999990       59.5999985       9.23359585    
   2.79999995       59.5999985       9.20101261    
   3.00000000       59.5999985       9.19538689    
   3.20000005       59.5999985       9.23905087    
   3.40000010       59.5999985       9.31922722    
   3.59999990       59.5999985       9.42869759    
   3.79999995       59.5999985       9.56180382    
   4.00000000       59.5999985       9.71604538    
   4.19999981       59.5999985       9.89397430    
   4.40000010       59.5999985       10.0889215    
   4.59999990       59.5999985       10.2931147    
   4.80000019       59.5999985       10.4980373    
   5.00000000       59.5999985       10.6940880    
   5.19999981       59.5999985       10.8755054    
   5.40000010       59.5999985       11.0450506    
   5.59999990       59.5999985       11.2097082    
   5.80000019       59.5999985       11.3830032    
   6.00000000       59.5999985       11.5762053    
   6.20000029       59.5999985       11.7919178    
   6.40000010       59.5999985       12.0213966    
   6.59999990       59.5999985       12.2524023    
   6.80000019       59.5999985       12.4782591    
   7.00000000       59.5999985       12.7055254    
   7.20000029       59.5999985       12.9538536    
   7.40000010       59.5999985       13.2343884    
   7.59999990       59.5999985       13.5600042    
   7.80000019       59.5999985       13.9369230    
   8.00000000       59.5999985       14.3577652    
   2.00000000       59.7999992       8.87481689    
   2.20000005       59.7999992       8.75988579    
   2.40000010       59.7999992       8.66217518    
   2.59999990       59.7999992       8.58526230    
   2.79999995       59.7999992       8.53082848    
   3.00000000       59.7999992       8.50358200    
   3.20000005       59.7999992       8.52723789    
   3.40000010       59.7999992       8.60221672    
   3.59999990       59.7999992       8.70184422    
   3.79999995       59.7999992       8.82494640    
   4.00000000       59.7999992       8.96951580    
   4.19999981       59.7999992       9.13774014    
   4.40000010       59.7999992       9.32974815    
   4.59999990       59.7999992       9.53334904    
   4.80000019       59.7999992       9.73574257    
   5.00000000       59.7999992       9.93058014    
   5.19999981       59.7999992       10.1165199    
   5.40000010       59.7999992       10.2975521    
   5.59999990       59.7999992       10.4845848    
   5.80000019       59.7999992       10.6938696    
   6.00000000       59.7999992       10.9402256    
   6.20000029       59.7999992       11.2309361    
   6.40000010       59.7999992       11.5585899    
   6.59999990       59.7999992       11.8674326    
   6.80000019       59.7999992       12.0853376    
   7.00000000       59.7999992       12.2675371    
   7.20000029       59.7999992       12.4866781    
   7.40000010       59.7999992       12.7674618    
   7.59999990       59.7999992       13.1135292    
   7.80000019       59.7999992       13.5121403    
   8.00000000       59.7999992       13.9625444    
   2.00000000       60.0000000       8.27981663    
   2.20000005       60.0000000       8.13647556    
   2.40000010       60.0000000       8.01240730    
   2.59999990       60.0000000       7.90919971    
   2.79999995       60.0000000       7.82845163    
   3.00000000       60.0000000       7.79003334    
   3.20000005       60.0000000       7.79396439    
   3.40000010       60.0000000       7.82877779    
   3.59999990       60.0000000       7.90809631    
   3.79999995       60.0000000       8.01105595    
   4.00000000       60.0000000       8.14937592    
   4.19999981       60.0000000       8.32006073    
   4.40000010       60.0000000       8.51958275    
   4.59999990       60.0000000       8.73616982    
   4.80000019       60.0000000       8.96001816    
   5.00000000       60.0000000       9.17615032    
   5.19999981       60.0000000       9.36944389    
   5.40000010       60.0000000       9.53628540    
   5.59999990       60.0000000       9.69247723    
   5.80000019       60.0000000       9.87933445    
   6.00000000       60.0000000       10.1236515    
   6.20000029       60.0000000       10.4210901    
   6.40000010       60.0000000       10.7714939    
   6.59999990       60.0000000       11.1157665    
   6.80000019       60.0000000       11.3609800    
   7.00000000       60.0000000       11.5736856    
   7.20000029       60.0000000       11.8330317    
   7.40000010       60.0000000       12.1628542    
   7.59999990       60.0000000       12.5604467    
   7.80000019       60.0000000       13.0113096    
   8.00000000       60.0000000       13.5112972    
   2.00000000       60.2000008       7.68217134    
   2.20000005       60.2000008       7.50830078    
   2.40000010       60.2000008       7.35236168    
   2.59999990       60.2000008       7.21617556    
   2.79999995       60.2000008       7.10576344    
   3.00000000       60.2000008       7.04384899    
   3.20000005       60.2000008       7.00777388    
   3.40000010       60.2000008       7.00376749    
   3.59999990       60.2000008       7.03381252    
   3.79999995       60.2000008       7.10389471    
   4.00000000       60.2000008       7.23520565    
   4.19999981       60.2000008       7.40516138    
   4.40000010       60.2000008       7.61735535    
   4.59999990       60.2000008       7.86583424    
   4.80000019       60.2000008       8.13497162    
